GROUP_AC7	GROUP_AC8	GROUP_AC9	GROUP-BN1	GROUP-BN2	GROUP-BN3
ENSG00000274258.1	0	0	10	1	2	2
ENSG00000230679.1	2	1	3	6	1	2
ENSG00000201725.1	0	0	0	0	0	0
ENSG00000238249.2	0	1	3	4	3	0
ENSG00000232208.2	0	0	0	2	0	0
ENSG00000232663.2	0	0	0	0	0	0
ENSG00000131686.15	0	0	0	0	0	0
ENSG00000265141.2	0	0	3	1	0	0
ENSG00000197241.4	0	0	0	0	0	0
ENSG00000142583.18	320	2852	93	415	2167	70
ENSG00000252404.1	0	0	0	0	0	0
ENSG00000180758.12	518	1383	860	1061	1142	582
ENSG00000228526.7	1046	1339	1500	1169	1168	1064
ENSG00000284357.1	0	0	0	0	0	0
ENSG00000234546.4	291	491	427	154	271	151
ENSG00000049239.13	21090	21578	20129	5826	15634	6561
ENSG00000171621.14	3137	2174	2760	2179	2500	1622
ENSG00000284652.1	19	14	48	3	13	5
ENSG00000284693.1	150	81	86	50	139	84
ENSG00000252956.1	0	0	0	0	0	0
ENSG00000235263.1	0	0	0	0	0	0
ENSG00000171612.7	301	320	399	666	503	423
ENSG00000231181.1	10	2	5	17	1	5
ENSG00000188807.13	558	679	471	1232	695	1078
ENSG00000171608.16	1050	962	671	628	905	441
ENSG00000179840.5	0	0	0	0	0	0
ENSG00000233268.3	0	0	0	0	0	0
ENSG00000231789.2	43	35	17	11	38	23
ENSG00000171603.18	18719	26206	16236	14361	26966	20223
ENSG00000271264.1	0	0	0	0	0	0
ENSG00000280113.2	0	0	0	4	4	1
ENSG00000178585.15	704	724	604	658	1182	784
ENSG00000223989.1	0	1	0	0	1	0
ENSG00000285701.1	0	0	0	0	0	0
ENSG00000162441.12	1542	1737	1560	2132	1615	1778
ENSG00000228150.1	0	2	2	0	8	7
ENSG00000173614.14	583	635	711	859	875	637
ENSG00000202415.1	2	4	0	14	26	16
ENSG00000283611.2	0	0	0	0	0	0
ENSG00000265521.1	0	3	0	6	0	7
ENSG00000241326.1	0	0	0	0	0	0
ENSG00000162444.12	0	34	13	4	3	0
ENSG00000130939.20	5933	8852	4898	4026	6311	5393
ENSG00000224340.1	0	0	0	0	0	0
ENSG00000233623.2	0	16	8	13	5	5
ENSG00000201746.1	3	7	3	1	10	9
ENSG00000054523.19	6250	8218	6338	9068	10495	9913
ENSG00000264881.1	0	0	0	3	0	1
ENSG00000199562.1	5	0	0	5	8	5
ENSG00000264501.2	0	0	0	0	0	0
ENSG00000284735.1	0	5	0	3	0	0
ENSG00000284642.1	10	4	19	13	26	13
ENSG00000142657.21	10573	16712	5027	8700	21956	11861
ENSG00000271989.1	0	0	0	2	7	0
ENSG00000251503.8	0	0	0	0	0	0
ENSG00000175279.22	41	52	71	89	71	91
ENSG00000241563.4	3	0	1	3	2	2
ENSG00000160049.12	3325	3554	3598	4012	3921	2998
ENSG00000203469.2	8	1	0	1	1	5
ENSG00000142655.13	840	957	832	1200	1365	1044
ENSG00000287727.1	0	0	0	0	0	0
ENSG00000243267.3	0	0	4	5	9	12
ENSG00000130940.15	6	69	54	90	119	31
ENSG00000272078.1	3	15	21	0	21	1
ENSG00000225158.2	0	0	0	0	0	0
ENSG00000175262.14	0	0	0	0	0	0
