,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,Ligand,Receptor
COMP,0,1.920006867,0.34,0.124,0,COMP,myCAF,TRUE,FALSE
SFRP2,0,1.882867717,0.896,0.389,0,SFRP2,myCAF,TRUE,FALSE
THBS2,0,1.84349331,0.961,0.48,0,THBS2,myCAF,TRUE,FALSE
VCAN,0,1.812136206,0.967,0.524,0,VCAN,myCAF,TRUE,FALSE
COL24A1,0,1.790904845,0.298,0.1,0,COL24A1,myCAF,TRUE,FALSE
SPON11,0,1.766092627,0.358,0.12,0,SPON1,myCAF,TRUE,FALSE
COL12A11,0,1.726277328,0.867,0.434,0,COL12A1,myCAF,TRUE,FALSE
EDIL3,0,1.724400435,0.624,0.25,0,EDIL3,myCAF,TRUE,FALSE
CDH111,0,1.714688483,0.863,0.384,0,CDH11,myCAF,FALSE,TRUE
COL5A3,0,1.671197592,0.756,0.342,0,COL5A3,myCAF,TRUE,FALSE
INHBA1,0,1.659648119,0.893,0.445,0,INHBA,myCAF,TRUE,FALSE
SPON2,0,1.651190543,0.906,0.497,0,SPON2,myCAF,TRUE,FALSE
CD248,0,1.639695053,0.751,0.345,0,CD248,myCAF,FALSE,TRUE
COL5A2,0,1.621920239,0.995,0.659,0,COL5A2,myCAF,TRUE,FALSE
MXRA8,0,1.609120297,0.903,0.43,0,MXRA8,myCAF,TRUE,FALSE
HAS21,0,1.581565627,0.425,0.163,0,HAS2,myCAF,TRUE,TRUE
EDNRA,0,1.539974943,0.515,0.208,0,EDNRA,myCAF,FALSE,TRUE
CCN4,0,1.508280453,0.462,0.186,0,CCN4,myCAF,TRUE,FALSE
MMP2,0,1.502861866,0.963,0.568,0,MMP2,myCAF,TRUE,TRUE
FN1,0,1.484836131,0.997,0.749,0,FN1,myCAF,TRUE,FALSE
NID1,0,1.479869087,0.73,0.333,0,NID1,myCAF,TRUE,FALSE
SERPINE11,0,1.46092272,0.904,0.593,0,SERPINE1,myCAF,TRUE,FALSE
CLMP2,0,1.460070061,0.551,0.215,0,CLMP,myCAF,TRUE,FALSE
PTHLH1,0,1.458448019,0.586,0.29,0,PTHLH,myCAF,TRUE,FALSE
FBN1,0,1.42059982,0.965,0.579,0,FBN1,myCAF,TRUE,FALSE
COL6A3,0,1.413133486,1,0.737,0,COL6A3,myCAF,TRUE,FALSE
NT5E1,0,1.350215616,0.547,0.253,0,NT5E,myCAF,TRUE,TRUE
TREM2,0,1.3487638,0.447,0.204,0,TREM2,myCAF,FALSE,TRUE
PDGFRB,0,1.348076786,0.95,0.549,0,PDGFRB,myCAF,FALSE,TRUE
BGN,0,1.342548259,0.996,0.68,0,BGN,myCAF,TRUE,FALSE
MMP7,0,1.309444711,0.582,0.318,0,MMP7,myCAF,TRUE,FALSE
ADAMTS4,0,1.294440626,0.474,0.228,0,ADAMTS4,myCAF,FALSE,TRUE
MXRA5,0,1.274906835,0.818,0.473,0,MXRA5,myCAF,TRUE,FALSE
COL5A1,0,1.271950196,0.999,0.788,0,COL5A1,myCAF,TRUE,FALSE
LAMA4,0,1.263756759,0.903,0.53,0,LAMA4,myCAF,TRUE,FALSE
FLRT21,0,1.257400324,0.598,0.312,0,FLRT2,myCAF,TRUE,FALSE
LUM1,0,1.251152791,0.992,0.655,0,LUM,myCAF,TRUE,FALSE
MRC11,0,1.248434255,0.654,0.319,0,MRC1,myCAF,FALSE,TRUE
COL1A2,0,1.238716894,1,0.838,0,COL1A2,myCAF,TRUE,FALSE
THBS1,0,1.225803262,0.949,0.611,0,THBS1,myCAF,TRUE,FALSE
COL3A1,0,1.222626035,1,0.859,0,COL3A1,myCAF,TRUE,FALSE
F2R,0,1.214826959,0.642,0.35,0,F2R,myCAF,FALSE,TRUE
LAMA21,0,1.201692865,0.5,0.23,0,LAMA2,myCAF,TRUE,FALSE
THY1,0,1.195591308,0.921,0.569,0,THY1,myCAF,TRUE,TRUE
COL15A1,0,1.17700438,0.767,0.45,0,COL15A1,myCAF,TRUE,FALSE
ITGA1,0,1.166759258,0.901,0.578,0,ITGA1,myCAF,FALSE,TRUE
CCN2,0,1.155092375,0.933,0.616,0,CCN2,myCAF,TRUE,FALSE
ADGRA21,0,1.147555716,0.631,0.304,0,ADGRA2,myCAF,FALSE,TRUE
RARRES21,0,1.142786115,0.542,0.252,0,RARRES2,myCAF,TRUE,FALSE
KIRREL1,0,1.119885109,0.72,0.401,0,KIRREL1,myCAF,TRUE,TRUE
ANGPTL2,0,1.116691341,0.848,0.514,0,ANGPTL2,myCAF,TRUE,FALSE
DCN1,0,1.108116672,0.98,0.621,0,DCN,myCAF,TRUE,FALSE
PDGFB1,0,1.101787587,0.691,0.407,0,PDGFB,myCAF,TRUE,FALSE
DDR21,0,1.100798733,0.558,0.274,0,DDR2,myCAF,FALSE,TRUE
COL1A1,0,1.094267794,1,0.963,0,COL1A1,myCAF,TRUE,FALSE
COL6A1,0,1.084691895,1,0.79,0,COL6A1,myCAF,TRUE,FALSE
EFEMP2,0,1.08385901,0.592,0.328,0,EFEMP2,myCAF,TRUE,FALSE
SPARC,0,1.072377943,1,0.877,0,SPARC,myCAF,TRUE,FALSE
WNT5A1,0,1.066062561,0.833,0.579,0,WNT5A,myCAF,TRUE,FALSE
CLEC11A,0,1.061957198,0.714,0.446,0,CLEC11A,myCAF,TRUE,FALSE
CTHRC1,0,1.02444472,0.995,0.833,0,CTHRC1,myCAF,TRUE,FALSE
COL6A2,0,1.024211452,1,0.799,0,COL6A2,myCAF,TRUE,FALSE
NELL2,0,1.016112851,0.64,0.388,0,NELL2,myCAF,TRUE,FALSE
COL13A1,1.16E-302,1.5871274,0.326,0.128,2.09E-298,COL13A1,myCAF,TRUE,TRUE
ENPEP,6.31E-297,1.35671802,0.391,0.178,1.14E-292,ENPEP,myCAF,FALSE,TRUE
MMP131,3.24E-287,1.844179308,0.26,0.087,5.86E-283,MMP13,myCAF,TRUE,TRUE
JAM31,3.01E-281,1.02794968,0.465,0.231,5.45E-277,JAM3,myCAF,TRUE,TRUE
ENPP1,3.96E-274,1.401077905,0.342,0.146,7.16E-270,ENPP1,myCAF,TRUE,FALSE
CACNA1C1,2.08E-265,1.416541319,0.309,0.122,3.76E-261,CACNA1C,myCAF,FALSE,TRUE
CDH2,7.39E-235,1.529706345,0.269,0.106,1.34E-230,CDH2,myCAF,TRUE,TRUE
SEMA6B,1.93E-196,1.098806912,0.367,0.193,3.48E-192,SEMA6B,myCAF,TRUE,FALSE
CCL11,5.75E-175,1.327083204,0.251,0.11,1.04E-170,CCL11,myCAF,TRUE,FALSE
WNT7A1,3.63E-174,1.200461234,0.284,0.135,6.55E-170,WNT7A,myCAF,TRUE,FALSE
OLR1,1.13E-154,1.038825118,0.331,0.183,2.05E-150,OLR1,myCAF,FALSE,TRUE
PLA2G2A1,0,4.951507773,0.799,0.057,0,PLA2G2A,PI16,TRUE,FALSE
PI161,0,4.253354356,0.702,0.086,0,PI16,PI16,TRUE,FALSE
THBS4,0,3.699067034,0.778,0.145,0,THBS4,PI16,TRUE,FALSE
OGN,0,3.456244849,0.491,0.071,0,OGN,PI16,TRUE,FALSE
COMP1,0,3.116686037,0.713,0.14,0,COMP,PI16,TRUE,FALSE
GDF10,0,2.8949597,0.355,0.065,0,GDF10,PI16,TRUE,FALSE
APOD2,0,2.859938312,0.951,0.273,0,APOD,PI16,TRUE,FALSE
CTSG,0,2.804164856,0.259,0.041,0,CTSG,PI16,TRUE,FALSE
FXYD11,0,2.792063054,0.499,0.099,0,FXYD1,PI16,FALSE,TRUE
ANGPTL11,0,2.649793534,0.421,0.089,0,ANGPTL1,PI16,TRUE,FALSE
TNXB2,0,2.543004214,0.932,0.354,0,TNXB,PI16,TRUE,FALSE
LEPR1,0,2.523140017,0.807,0.273,0,LEPR,PI16,FALSE,TRUE
